movie_id,title,overview,vote_average,poster_path,genres,director,actors,vader_sentiment
1340206,Tuner,"A gifted piano tuner's meticulous skills for tuning pianos lead him to discover an unexpected aptitude for cracking safes, turning his life upside down.",7.157,/5OvA3i9wZs5jHu0DCrfmXlzAM67.jpg,Crime|Drama|Thriller,Daniel Roher,Leo Woodall|Havana Rose Liu|Dustin Hoffman|Lior Raz|Tovah Feldshuh,0.1027
1284465,The Death of Robin Hood,"Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation.",6.7,/13MmRwmG5NmaMfU8qNrtgGXisiD.jpg,Adventure|Drama|Thriller|Action,Michael Sarnoski,Hugh Jackman|Jodie Comer|Bill Skarsgård|Murray Bartlett|Noah Jupe,-0.9325
1273221,Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",5.4,/1KlYdWoOrbL5ux357rW9LC155qw.jpg,Comedy|Horror,Michael Tiddes,Marlon Wayans|Shawn Wayans|Anna Faris|Regina Hall|Damon Wayans Jr.,-0.875
1279493,The Get Out,"A nightclub owner is on the verge of leaving his dangerous past behind for retirement with his girlfriend. When masked gunmen rob him and he finds himself squeezed by ruthless cartels, a mysterious newcomer arrives with an interest in buying the business. With danger closing in from all sides, he must navigate a deadly web of deception, power, and survival  -  where escape may no longer be an option.",6.783,/A56e359GzpasjuYRajkDBhLncEW.jpg,Action|Thriller,Derrick Borte,Russell Crowe|Luke Evans|Aaron Paul|Teresa Palmer|Nina Dobrev,-0.8885
1212763,Evil Dead Burn,"After the loss of her husband, a woman seeks solace with her in-laws. As one by one they transform into deadites, she comes to discover that the vows she took in life - survive even in death.",8.0,/ztadKzIIR0ERYqpHteaPFtk7inP.jpg,Horror|Thriller,Sébastien Vaniček,Souheila Yacoub|Tandi Wright|Hunter Doohan|Luciane Buchanan|Erroll Shand,-0.7351
1275779,Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",6.668,/7RYO0KTXIJ0rS0LqnCQLxeNR3P3.jpg,Science Fiction|Thriller,Steven Spielberg,Emily Blunt|Josh O'Connor|Colin Firth|Colman Domingo|Eve Hewson,-0.2023
1212763,Evil Dead Burn,"After the loss of her husband, a woman seeks solace with her in-laws. As one by one they transform into deadites, she comes to discover that the vows she took in life - survive even in death.",8.0,/ztadKzIIR0ERYqpHteaPFtk7inP.jpg,Horror|Thriller,Sébastien Vaniček,Souheila Yacoub|Tandi Wright|Hunter Doohan|Luciane Buchanan|Erroll Shand,-0.7351
1705729,Man of War,"When an aid worker vanishes in the first hours of war in Ukraine, a former Navy SEAL and CIA operative crosses into the shattered country to bring her home-facing mercenaries, shifting battle lines, and ghosts he thought he left behind.",0.0,/vt0RqHlqfUzeiBEVQvp43yY2076.jpg,Action,William Kaufman,LaMonica Garrett|Andrew Howard|Linds Edwards|Rosmary Yaneva|Jason Patric,-0.8625
1226863,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",8.245,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,Family|Comedy|Adventure|Fantasy|Animation,Michael Jelenic,Chris Pratt|Anya Taylor-Joy|Charlie Day|Jack Black|Donald Glover,0.0516
1280738,The Furious,"After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",7.7,/zP19YO60jwEsfKd5Qf1UvA5uJu8.jpg,Action|Crime,Kenji Tanigaki,Xie Miao|Joe Taslim|Yang Enyou|Yayan Ruhian|JeeJa Yanin,-0.872
614945,Voicemails for Isabelle,"A young woman's hilariously confessional voicemails to her late sister are unknowingly redirected to a stranger, who begins to fall in love from afar.",8.351,/canZTWSxACSnAluir3dCtMxKpA1.jpg,Romance|Comedy,Leah McKendrick,Zoey Deutch|Nick Robinson|Ciara Bravo|Nick Offerman|Leah McKendrick,0.6369
1122573,In the Grey,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",6.761,/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,Action|Thriller,Guy Ritchie,Henry Cavill|Jake Gyllenhaal|Eiza González|Carlos Bardem|Michael Vu,-0.7351
1266127,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",7.666,/jRf89HVEtBZiSnOXXWDhZOfuTwW.jpg,Thriller|Horror|Comedy,Matt Bettinelli-Olpin,Samara Weaving|Kathryn Newton|Sarah Michelle Gellar|Shawn Hatosy|Nestor Carbonell,0.9349
